,age,age_bin,job,marital,education,points,y
39,37,"(33.0, 37.0]",admin.,single,secondary,3,no
40,44,"(41.0, 47.0]",services,divorced,secondary,7,no
41,50,"(47.0, 54.0]",management,married,secondary,4,no
42,60,"(54.0, 95.0]",blue-collar,married,unknown,4,no
43,54,"(47.0, 54.0]",retired,married,secondary,5,no
44,58,"(54.0, 95.0]",retired,married,unknown,4,no
45,36,"(33.0, 37.0]",admin.,single,primary,3,no
46,58,"(54.0, 95.0]",self-employed,married,tertiary,3,no
47,44,"(41.0, 47.0]",technician,married,secondary,3,no
48,55,"(54.0, 95.0]",technician,divorced,secondary,4,no
49,29,"(17.999, 30.0]",management,single,tertiary,3,no
50,54,"(47.0, 54.0]",blue-collar,married,secondary,6,no
51,48,"(47.0, 54.0]",management,divorced,tertiary,3,no
52,32,"(30.0, 33.0]",management,married,tertiary,3,no
53,42,"(41.0, 47.0]",admin.,single,secondary,3,no
54,24,"(17.999, 30.0]",technician,single,secondary,2,no
55,38,"(37.0, 41.0]",entrepreneur,single,tertiary,4,no
56,38,"(37.0, 41.0]",management,single,tertiary,5,no
57,47,"(41.0, 47.0]",blue-collar,married,unknown,5,no
58,40,"(37.0, 41.0]",blue-collar,single,unknown,4,no
59,46,"(41.0, 47.0]",services,married,primary,4,no
60,32,"(30.0, 33.0]",admin.,married,tertiary,3,no
61,53,"(47.0, 54.0]",technician,divorced,secondary,6,no
62,57,"(54.0, 95.0]",blue-collar,married,primary,4,no
63,33,"(30.0, 33.0]",services,married,secondary,6,no
64,49,"(47.0, 54.0]",blue-collar,married,unknown,4,no
65,51,"(47.0, 54.0]",management,married,tertiary,7,no
66,60,"(54.0, 95.0]",retired,married,tertiary,5,no
67,59,"(54.0, 95.0]",management,divorced,tertiary,4,no
68,55,"(54.0, 95.0]",technician,married,secondary,6,no
69,35,"(33.0, 37.0]",blue-collar,single,secondary,6,no
70,57,"(54.0, 95.0]",blue-collar,married,secondary,6,no
71,31,"(30.0, 33.0]",services,married,secondary,3,no
72,54,"(47.0, 54.0]",management,married,secondary,4,no
73,55,"(54.0, 95.0]",blue-collar,married,primary,4,no
74,43,"(41.0, 47.0]",technician,married,secondary,7,no
75,53,"(47.0, 54.0]",technician,married,secondary,5,no
76,44,"(41.0, 47.0]",blue-collar,married,secondary,5,no
77,55,"(54.0, 95.0]",services,divorced,secondary,5,no
78,49,"(47.0, 54.0]",services,divorced,secondary,2,no
79,55,"(54.0, 95.0]",services,divorced,secondary,2,no
80,45,"(41.0, 47.0]",admin.,single,secondary,4,no
81,47,"(41.0, 47.0]",services,divorced,secondary,5,no
82,42,"(41.0, 47.0]",technician,single,secondary,5,no
83,59,"(54.0, 95.0]",admin.,married,secondary,7,yes
84,46,"(41.0, 47.0]",self-employed,married,tertiary,3,no
85,51,"(47.0, 54.0]",blue-collar,married,primary,4,no
86,56,"(54.0, 95.0]",admin.,married,secondary,5,yes
87,41,"(37.0, 41.0]",technician,married,secondary,6,yes
88,46,"(41.0, 47.0]",management,divorced,secondary,2,no
89,57,"(54.0, 95.0]",retired,married,secondary,5,no
90,42,"(41.0, 47.0]",management,single,secondary,5,no
91,30,"(17.999, 30.0]",technician,married,secondary,3,no
92,60,"(54.0, 95.0]",admin.,married,secondary,5,no
93,60,"(54.0, 95.0]",blue-collar,married,unknown,4,no
94,57,"(54.0, 95.0]",entrepreneur,divorced,secondary,4,no
95,36,"(33.0, 37.0]",management,married,tertiary,3,no
96,55,"(54.0, 95.0]",blue-collar,married,secondary,6,no
97,60,"(54.0, 95.0]",retired,married,tertiary,4,no
98,39,"(37.0, 41.0]",technician,married,secondary,3,no
99,46,"(41.0, 47.0]",management,married,tertiary,4,no
100,44,"(41.0, 47.0]",blue-collar,married,secondary,3,no
101,53,"(47.0, 54.0]",blue-collar,married,primary,5,no
102,52,"(47.0, 54.0]",blue-collar,married,primary,4,no
103,59,"(54.0, 95.0]",blue-collar,married,primary,4,no
104,27,"(17.999, 30.0]",technician,single,tertiary,3,no
105,44,"(41.0, 47.0]",blue-collar,married,secondary,4,no
106,47,"(41.0, 47.0]",technician,married,tertiary,4,no
107,34,"(33.0, 37.0]",admin.,married,secondary,4,no
108,59,"(54.0, 95.0]",retired,single,secondary,4,no
109,45,"(41.0, 47.0]",management,married,tertiary,5,no
110,29,"(17.999, 30.0]",services,divorced,secondary,4,no
111,46,"(41.0, 47.0]",technician,divorced,secondary,5,no
112,56,"(54.0, 95.0]",self-employed,married,primary,2,no
113,36,"(33.0, 37.0]",blue-collar,married,primary,5,no
114,59,"(54.0, 95.0]",retired,divorced,primary,4,no
115,44,"(41.0, 47.0]",blue-collar,married,secondary,4,no
116,41,"(37.0, 41.0]",admin.,married,secondary,5,no
117,33,"(30.0, 33.0]",management,single,tertiary,3,no
118,59,"(54.0, 95.0]",management,divorced,tertiary,5,no
119,57,"(54.0, 95.0]",technician,married,primary,4,no
120,56,"(54.0, 95.0]",technician,divorced,unknown,4,no
121,51,"(47.0, 54.0]",blue-collar,married,secondary,4,no
122,34,"(33.0, 37.0]",admin.,married,unknown,3,no
123,43,"(41.0, 47.0]",services,married,secondary,3,no
124,52,"(47.0, 54.0]",technician,married,tertiary,3,no
125,33,"(30.0, 33.0]",technician,single,secondary,4,no
126,29,"(17.999, 30.0]",admin.,single,secondary,5,no
127,34,"(33.0, 37.0]",services,married,secondary,2,no
128,31,"(30.0, 33.0]",blue-collar,married,secondary,3,no
129,55,"(54.0, 95.0]",services,married,secondary,7,yes
130,55,"(54.0, 95.0]",management,married,unknown,7,no
131,32,"(30.0, 33.0]",admin.,single,secondary,4,no
132,38,"(37.0, 41.0]",technician,single,secondary,6,no
133,55,"(54.0, 95.0]",admin.,single,secondary,5,no
134,28,"(17.999, 30.0]",unemployed,single,tertiary,3,no
135,23,"(17.999, 30.0]",blue-collar,married,secondary,4,no
136,32,"(30.0, 33.0]",technician,single,secondary,3,no
137,43,"(41.0, 47.0]",services,single,unknown,4,no
138,32,"(30.0, 33.0]",blue-collar,married,secondary,5,no
139,46,"(41.0, 47.0]",blue-collar,married,secondary,4,no
140,53,"(47.0, 54.0]",housemaid,divorced,primary,6,no
141,34,"(33.0, 37.0]",self-employed,single,secondary,3,no
142,57,"(54.0, 95.0]",unemployed,married,tertiary,5,no
143,37,"(33.0, 37.0]",blue-collar,married,secondary,4,no
144,59,"(54.0, 95.0]",blue-collar,married,secondary,4,no
145,33,"(30.0, 33.0]",services,married,secondary,3,no
146,56,"(54.0, 95.0]",blue-collar,divorced,primary,3,no
147,48,"(47.0, 54.0]",unemployed,married,secondary,5,no
148,43,"(41.0, 47.0]",services,married,primary,3,no
149,54,"(47.0, 54.0]",blue-collar,married,primary,5,no
150,51,"(47.0, 54.0]",blue-collar,married,unknown,3,no
151,26,"(17.999, 30.0]",student,single,secondary,3,no
152,40,"(37.0, 41.0]",management,married,tertiary,3,no
153,39,"(37.0, 41.0]",management,married,secondary,3,no
154,50,"(47.0, 54.0]",technician,married,primary,5,no
155,41,"(37.0, 41.0]",services,married,secondary,3,no
156,51,"(47.0, 54.0]",blue-collar,married,unknown,7,no
157,60,"(54.0, 95.0]",retired,divorced,secondary,4,no
158,52,"(47.0, 54.0]",blue-collar,married,secondary,6,no
159,48,"(47.0, 54.0]",blue-collar,married,secondary,6,no
160,48,"(47.0, 54.0]",services,married,unknown,6,no
161,39,"(37.0, 41.0]",technician,single,tertiary,4,no
162,47,"(41.0, 47.0]",services,single,secondary,4,no
163,40,"(37.0, 41.0]",blue-collar,married,secondary,6,no
164,45,"(41.0, 47.0]",technician,married,secondary,4,no
165,26,"(17.999, 30.0]",admin.,single,secondary,4,no
166,52,"(47.0, 54.0]",management,married,tertiary,4,no
167,54,"(47.0, 54.0]",technician,married,secondary,6,no
168,54,"(47.0, 54.0]",admin.,married,tertiary,5,yes
169,50,"(47.0, 54.0]",blue-collar,married,primary,4,no
170,35,"(33.0, 37.0]",blue-collar,married,secondary,3,no
171,44,"(41.0, 47.0]",services,married,secondary,5,no
172,53,"(47.0, 54.0]",entrepreneur,married,unknown,3,no
173,35,"(33.0, 37.0]",retired,single,primary,6,no
174,60,"(54.0, 95.0]",admin.,divorced,secondary,4,no
175,53,"(47.0, 54.0]",admin.,divorced,secondary,6,no
176,48,"(47.0, 54.0]",unemployed,married,secondary,4,no
177,34,"(33.0, 37.0]",technician,married,secondary,4,no
178,54,"(47.0, 54.0]",services,married,secondary,4,no
179,51,"(47.0, 54.0]",management,married,secondary,6,no
180,31,"(30.0, 33.0]",services,married,tertiary,4,no
181,35,"(33.0, 37.0]",technician,divorced,secondary,6,no
182,35,"(33.0, 37.0]",services,married,secondary,4,no
183,38,"(37.0, 41.0]",technician,married,secondary,4,no
184,36,"(33.0, 37.0]",admin.,married,tertiary,4,no
185,58,"(54.0, 95.0]",retired,married,primary,4,no
186,40,"(37.0, 41.0]",services,divorced,unknown,7,no
187,54,"(47.0, 54.0]",management,married,secondary,8,no
188,34,"(33.0, 37.0]",blue-collar,single,secondary,3,no
189,31,"(30.0, 33.0]",management,single,tertiary,3,no
190,51,"(47.0, 54.0]",retired,married,secondary,7,no
191,33,"(30.0, 33.0]",management,married,tertiary,5,no
192,55,"(54.0, 95.0]",management,married,tertiary,4,no
193,42,"(41.0, 47.0]",admin.,married,secondary,5,no
194,34,"(33.0, 37.0]",blue-collar,married,secondary,4,no
195,33,"(30.0, 33.0]",blue-collar,single,secondary,5,no
196,38,"(37.0, 41.0]",services,married,secondary,4,no
197,50,"(47.0, 54.0]",technician,divorced,tertiary,4,no
198,43,"(41.0, 47.0]",management,married,tertiary,5,no
199,61,"(54.0, 95.0]",blue-collar,divorced,primary,6,no
200,47,"(41.0, 47.0]",admin.,married,secondary,4,no
201,48,"(47.0, 54.0]",self-employed,married,tertiary,3,no
202,44,"(41.0, 47.0]",blue-collar,married,secondary,5,no
203,35,"(33.0, 37.0]",student,single,unknown,5,no
204,35,"(33.0, 37.0]",services,married,secondary,3,no
205,50,"(47.0, 54.0]",services,married,secondary,7,no
206,41,"(37.0, 41.0]",management,married,tertiary,3,no
207,41,"(37.0, 41.0]",management,married,tertiary,5,no
208,39,"(37.0, 41.0]",services,single,unknown,4,no
209,42,"(41.0, 47.0]",retired,married,secondary,4,no
210,38,"(37.0, 41.0]",blue-collar,married,secondary,3,no
211,53,"(47.0, 54.0]",retired,married,secondary,5,no
212,59,"(54.0, 95.0]",housemaid,divorced,primary,5,no
213,36,"(33.0, 37.0]",services,married,secondary,5,no
214,54,"(47.0, 54.0]",blue-collar,married,primary,3,no
215,40,"(37.0, 41.0]",technician,married,tertiary,5,no
217,53,"(47.0, 54.0]",unemployed,married,unknown,4,no
218,46,"(41.0, 47.0]",housemaid,married,primary,7,no
219,39,"(37.0, 41.0]",management,married,tertiary,4,no
220,40,"(37.0, 41.0]",unemployed,married,secondary,4,no
221,28,"(17.999, 30.0]",blue-collar,married,primary,5,no
222,35,"(33.0, 37.0]",entrepreneur,divorced,secondary,3,no
223,55,"(54.0, 95.0]",retired,married,secondary,3,no
224,43,"(41.0, 47.0]",technician,divorced,unknown,4,no
225,48,"(47.0, 54.0]",blue-collar,married,primary,5,no
226,58,"(54.0, 95.0]",management,married,unknown,6,no
227,33,"(30.0, 33.0]",management,single,tertiary,4,no
228,36,"(33.0, 37.0]",blue-collar,married,unknown,7,no
229,53,"(47.0, 54.0]",services,divorced,secondary,6,no
230,47,"(41.0, 47.0]",blue-collar,married,primary,3,no
231,31,"(30.0, 33.0]",services,married,secondary,5,no
232,57,"(54.0, 95.0]",entrepreneur,married,secondary,5,no
233,53,"(47.0, 54.0]",blue-collar,married,unknown,7,no
234,55,"(54.0, 95.0]",blue-collar,married,primary,5,no
235,45,"(41.0, 47.0]",blue-collar,married,primary,4,no
236,53,"(47.0, 54.0]",admin.,divorced,secondary,5,no
237,37,"(33.0, 37.0]",blue-collar,married,primary,3,no
238,44,"(41.0, 47.0]",admin.,divorced,secondary,4,no
239,49,"(47.0, 54.0]",blue-collar,divorced,primary,2,no
240,46,"(41.0, 47.0]",technician,married,secondary,4,no
241,43,"(41.0, 47.0]",entrepreneur,married,unknown,4,no
242,38,"(37.0, 41.0]",admin.,married,secondary,4,no
243,43,"(41.0, 47.0]",technician,married,secondary,5,no
244,49,"(47.0, 54.0]",management,married,tertiary,7,no
245,42,"(41.0, 47.0]",management,married,unknown,6,no
246,22,"(17.999, 30.0]",blue-collar,single,secondary,3,no
247,40,"(37.0, 41.0]",management,married,tertiary,4,no
248,39,"(37.0, 41.0]",blue-collar,married,secondary,5,no
249,51,"(47.0, 54.0]",services,married,secondary,7,no
250,49,"(47.0, 54.0]",admin.,married,secondary,5,no
251,53,"(47.0, 54.0]",blue-collar,married,secondary,2,no
252,34,"(33.0, 37.0]",services,single,secondary,3,no
253,33,"(30.0, 33.0]",technician,divorced,secondary,4,no
254,50,"(47.0, 54.0]",management,single,tertiary,5,no
255,39,"(37.0, 41.0]",blue-collar,married,primary,5,no
256,59,"(54.0, 95.0]",entrepreneur,divorced,secondary,6,no
257,30,"(17.999, 30.0]",technician,single,secondary,7,no
258,36,"(33.0, 37.0]",services,married,secondary,3,no
259,40,"(37.0, 41.0]",blue-collar,married,secondary,5,no
260,53,"(47.0, 54.0]",blue-collar,married,secondary,4,no
261,34,"(33.0, 37.0]",management,single,tertiary,5,no
262,37,"(33.0, 37.0]",technician,married,secondary,5,no
263,42,"(41.0, 47.0]",management,divorced,tertiary,6,no
264,41,"(37.0, 41.0]",entrepreneur,married,primary,4,no
265,30,"(17.999, 30.0]",student,single,tertiary,4,no
266,37,"(33.0, 37.0]",management,single,tertiary,5,no
267,39,"(37.0, 41.0]",admin.,divorced,secondary,3,no
268,41,"(37.0, 41.0]",blue-collar,married,primary,3,no
269,40,"(37.0, 41.0]",blue-collar,married,primary,3,no
270,42,"(41.0, 47.0]",management,single,tertiary,2,yes
271,40,"(37.0, 41.0]",blue-collar,divorced,primary,3,no
272,57,"(54.0, 95.0]",technician,married,secondary,6,no
273,56,"(54.0, 95.0]",entrepreneur,divorced,secondary,5,no
274,37,"(33.0, 37.0]",admin.,married,secondary,4,no
275,59,"(54.0, 95.0]",retired,married,secondary,5,no
276,39,"(37.0, 41.0]",services,divorced,secondary,3,no
277,49,"(47.0, 54.0]",services,married,secondary,5,no
278,38,"(37.0, 41.0]",services,single,secondary,5,no
279,36,"(33.0, 37.0]",self-employed,married,tertiary,4,no
280,50,"(47.0, 54.0]",blue-collar,married,primary,4,no
281,41,"(37.0, 41.0]",admin.,married,secondary,2,no
282,54,"(47.0, 54.0]",technician,married,tertiary,5,no
283,58,"(54.0, 95.0]",blue-collar,married,primary,4,no
284,30,"(17.999, 30.0]",blue-collar,single,secondary,3,no
285,33,"(30.0, 33.0]",admin.,single,secondary,5,no
286,47,"(41.0, 47.0]",admin.,married,secondary,5,no
287,50,"(47.0, 54.0]",technician,single,tertiary,5,no
288,32,"(30.0, 33.0]",blue-collar,married,secondary,6,no
289,40,"(37.0, 41.0]",self-employed,married,secondary,5,no
290,37,"(33.0, 37.0]",management,married,tertiary,4,no
291,54,"(47.0, 54.0]",technician,single,unknown,5,no
292,24,"(17.999, 30.0]",student,single,secondary,5,no
293,54,"(47.0, 54.0]",management,married,tertiary,4,no
294,34,"(33.0, 37.0]",technician,married,secondary,3,no
295,56,"(54.0, 95.0]",technician,divorced,primary,3,no
296,31,"(30.0, 33.0]",blue-collar,single,secondary,3,no
297,24,"(17.999, 30.0]",student,single,secondary,4,no
298,42,"(41.0, 47.0]",blue-collar,divorced,primary,4,no
299,57,"(54.0, 95.0]",technician,married,secondary,6,no
300,42,"(41.0, 47.0]",blue-collar,married,unknown,5,no
301,51,"(47.0, 54.0]",admin.,married,secondary,5,no
302,57,"(54.0, 95.0]",retired,married,secondary,4,no
303,36,"(33.0, 37.0]",services,single,secondary,4,no
304,53,"(47.0, 54.0]",services,married,unknown,4,no
305,50,"(47.0, 54.0]",technician,married,secondary,6,no
306,54,"(47.0, 54.0]",management,married,tertiary,5,no
307,55,"(54.0, 95.0]",blue-collar,married,secondary,4,no
308,44,"(41.0, 47.0]",blue-collar,married,secondary,3,no
309,43,"(41.0, 47.0]",management,married,unknown,3,no
310,56,"(54.0, 95.0]",admin.,married,secondary,5,no
311,54,"(47.0, 54.0]",technician,married,unknown,6,no
312,55,"(54.0, 95.0]",services,divorced,primary,3,no
313,37,"(33.0, 37.0]",services,divorced,secondary,4,no
314,33,"(30.0, 33.0]",admin.,single,tertiary,5,no
315,46,"(41.0, 47.0]",admin.,married,secondary,3,no
316,36,"(33.0, 37.0]",blue-collar,married,secondary,4,no
317,51,"(47.0, 54.0]",technician,single,secondary,3,no
318,40,"(37.0, 41.0]",retired,single,primary,4,no
319,42,"(41.0, 47.0]",blue-collar,married,secondary,5,no
320,51,"(47.0, 54.0]",blue-collar,married,secondary,3,no
321,49,"(47.0, 54.0]",blue-collar,married,unknown,5,no
322,48,"(47.0, 54.0]",management,married,secondary,4,no
323,32,"(30.0, 33.0]",technician,divorced,tertiary,8,no
324,31,"(30.0, 33.0]",admin.,single,secondary,4,no
325,55,"(54.0, 95.0]",management,single,tertiary,5,no
326,40,"(37.0, 41.0]",blue-collar,single,secondary,5,no
327,47,"(41.0, 47.0]",technician,married,tertiary,6,no
328,57,"(54.0, 95.0]",technician,married,unknown,4,no
329,41,"(37.0, 41.0]",blue-collar,married,secondary,5,no
330,48,"(47.0, 54.0]",blue-collar,married,secondary,4,no
331,42,"(41.0, 47.0]",blue-collar,married,unknown,4,no
332,30,"(17.999, 30.0]",blue-collar,single,secondary,3,no
333,58,"(54.0, 95.0]",management,single,tertiary,6,no
334,45,"(41.0, 47.0]",management,divorced,tertiary,7,no
335,49,"(47.0, 54.0]",blue-collar,married,secondary,4,no
336,42,"(41.0, 47.0]",admin.,single,secondary,6,no
337,53,"(47.0, 54.0]",technician,married,secondary,3,no
338,51,"(47.0, 54.0]",admin.,single,secondary,3,no
339,32,"(30.0, 33.0]",services,single,secondary,4,no
340,41,"(37.0, 41.0]",blue-collar,single,secondary,6,no
341,43,"(41.0, 47.0]",management,divorced,secondary,5,no
342,40,"(37.0, 41.0]",blue-collar,divorced,secondary,3,no
343,50,"(47.0, 54.0]",blue-collar,married,primary,6,no
344,34,"(33.0, 37.0]",management,married,tertiary,4,no
345,53,"(47.0, 54.0]",services,married,unknown,4,no
346,45,"(41.0, 47.0]",technician,married,secondary,4,no
347,39,"(37.0, 41.0]",blue-collar,married,primary,3,no
348,44,"(41.0, 47.0]",services,married,tertiary,5,no
349,55,"(54.0, 95.0]",management,married,tertiary,5,no
350,46,"(41.0, 47.0]",management,single,tertiary,4,no
351,45,"(41.0, 47.0]",blue-collar,married,secondary,4,no
352,34,"(33.0, 37.0]",admin.,married,secondary,5,no
353,36,"(33.0, 37.0]",blue-collar,married,secondary,3,no
355,31,"(30.0, 33.0]",admin.,single,secondary,3,no
356,44,"(41.0, 47.0]",blue-collar,single,secondary,4,no
357,33,"(30.0, 33.0]",entrepreneur,single,tertiary,6,no
358,40,"(37.0, 41.0]",blue-collar,married,secondary,4,no
359,46,"(41.0, 47.0]",admin.,single,tertiary,5,no
360,48,"(47.0, 54.0]",management,married,tertiary,4,no
361,42,"(41.0, 47.0]",services,married,secondary,6,no
362,27,"(17.999, 30.0]",services,married,secondary,3,no
363,48,"(47.0, 54.0]",admin.,married,secondary,3,no
364,59,"(54.0, 95.0]",admin.,married,secondary,4,no
365,46,"(41.0, 47.0]",technician,married,tertiary,6,no
366,38,"(37.0, 41.0]",admin.,divorced,secondary,5,no
367,43,"(41.0, 47.0]",management,divorced,tertiary,3,no
368,38,"(37.0, 41.0]",admin.,divorced,tertiary,4,no
369,23,"(17.999, 30.0]",student,single,secondary,4,no
370,34,"(33.0, 37.0]",services,married,secondary,3,no
371,38,"(37.0, 41.0]",admin.,married,secondary,3,no
372,37,"(33.0, 37.0]",blue-collar,married,secondary,7,no
373,25,"(17.999, 30.0]",admin.,single,secondary,4,no
374,48,"(47.0, 54.0]",blue-collar,married,unknown,4,no
375,49,"(47.0, 54.0]",blue-collar,single,secondary,4,no
376,38,"(37.0, 41.0]",admin.,single,secondary,6,no
377,43,"(41.0, 47.0]",blue-collar,married,primary,4,no
378,33,"(30.0, 33.0]",management,married,tertiary,3,no
379,55,"(54.0, 95.0]",blue-collar,married,secondary,4,no
380,38,"(37.0, 41.0]",blue-collar,married,secondary,6,no
381,49,"(47.0, 54.0]",services,married,secondary,3,no
382,40,"(37.0, 41.0]",management,married,secondary,8,no
383,43,"(41.0, 47.0]",admin.,married,unknown,6,no
384,38,"(37.0, 41.0]",blue-collar,married,secondary,3,no
385,58,"(54.0, 95.0]",services,married,secondary,5,no
386,57,"(54.0, 95.0]",technician,married,unknown,5,no
387,32,"(30.0, 33.0]",unemployed,married,secondary,3,no
388,56,"(54.0, 95.0]",management,married,tertiary,5,yes
389,58,"(54.0, 95.0]",blue-collar,divorced,unknown,4,no
390,60,"(54.0, 95.0]",retired,divorced,secondary,5,yes
391,37,"(33.0, 37.0]",technician,married,tertiary,7,no
392,46,"(41.0, 47.0]",technician,divorced,tertiary,5,no
393,27,"(17.999, 30.0]",admin.,married,secondary,3,no
394,43,"(41.0, 47.0]",blue-collar,married,secondary,6,no
395,32,"(30.0, 33.0]",technician,single,secondary,2,no
396,40,"(37.0, 41.0]",admin.,single,secondary,4,no
397,38,"(37.0, 41.0]",admin.,married,secondary,4,no
398,34,"(33.0, 37.0]",blue-collar,married,secondary,5,no
399,47,"(41.0, 47.0]",blue-collar,married,primary,4,no
400,42,"(41.0, 47.0]",housemaid,married,primary,3,no
401,48,"(47.0, 54.0]",technician,married,secondary,3,no
402,29,"(17.999, 30.0]",self-employed,single,tertiary,3,no
403,50,"(47.0, 54.0]",services,married,secondary,4,no
404,52,"(47.0, 54.0]",technician,married,unknown,4,no
405,50,"(47.0, 54.0]",management,married,tertiary,4,no
406,58,"(54.0, 95.0]",retired,married,tertiary,4,no
407,46,"(41.0, 47.0]",blue-collar,divorced,primary,7,no
408,38,"(37.0, 41.0]",technician,married,secondary,5,no
409,46,"(41.0, 47.0]",blue-collar,married,secondary,6,no
410,32,"(30.0, 33.0]",services,single,secondary,5,no
411,51,"(47.0, 54.0]",blue-collar,married,primary,4,no
412,39,"(37.0, 41.0]",admin.,single,secondary,3,no
413,48,"(47.0, 54.0]",admin.,married,secondary,4,no
414,36,"(33.0, 37.0]",entrepreneur,married,tertiary,6,no
415,34,"(33.0, 37.0]",admin.,divorced,secondary,4,no
416,40,"(37.0, 41.0]",technician,married,secondary,5,no
417,43,"(41.0, 47.0]",unemployed,married,secondary,3,no
418,52,"(47.0, 54.0]",blue-collar,divorced,primary,3,no
419,33,"(30.0, 33.0]",technician,married,secondary,3,no
420,49,"(47.0, 54.0]",management,single,tertiary,4,no
421,32,"(30.0, 33.0]",management,single,tertiary,4,no
422,39,"(37.0, 41.0]",admin.,single,secondary,4,no
423,40,"(37.0, 41.0]",blue-collar,married,secondary,3,no
424,38,"(37.0, 41.0]",technician,single,tertiary,3,no
425,43,"(41.0, 47.0]",management,married,secondary,5,no
426,39,"(37.0, 41.0]",services,married,secondary,6,no
427,54,"(47.0, 54.0]",blue-collar,married,primary,7,no
428,38,"(37.0, 41.0]",technician,single,tertiary,7,no
429,40,"(37.0, 41.0]",blue-collar,married,secondary,4,no
430,55,"(54.0, 95.0]",admin.,married,secondary,4,no
431,42,"(41.0, 47.0]",management,married,tertiary,6,no
432,39,"(37.0, 41.0]",blue-collar,married,secondary,3,no
433,40,"(37.0, 41.0]",blue-collar,married,primary,4,no
434,32,"(30.0, 33.0]",blue-collar,married,secondary,5,no
435,55,"(54.0, 95.0]",admin.,married,secondary,4,no
436,45,"(41.0, 47.0]",blue-collar,married,secondary,5,no
437,35,"(33.0, 37.0]",management,single,tertiary,5,no
438,58,"(54.0, 95.0]",technician,divorced,secondary,6,no
439,35,"(33.0, 37.0]",admin.,married,secondary,5,no
440,49,"(47.0, 54.0]",services,married,primary,4,no
441,34,"(33.0, 37.0]",technician,single,tertiary,4,no
442,36,"(33.0, 37.0]",blue-collar,married,secondary,4,no
443,24,"(17.999, 30.0]",self-employed,single,secondary,3,no
444,34,"(33.0, 37.0]",technician,married,secondary,5,no
445,51,"(47.0, 54.0]",admin.,divorced,secondary,4,no
446,39,"(37.0, 41.0]",technician,single,unknown,7,yes
447,50,"(47.0, 54.0]",self-employed,married,unknown,3,no
448,32,"(30.0, 33.0]",services,single,secondary,5,no
449,42,"(41.0, 47.0]",blue-collar,married,unknown,4,no
450,50,"(47.0, 54.0]",technician,married,secondary,6,no
451,40,"(37.0, 41.0]",services,married,secondary,5,no
452,46,"(41.0, 47.0]",management,divorced,unknown,3,no
453,37,"(33.0, 37.0]",management,married,tertiary,3,no
454,34,"(33.0, 37.0]",blue-collar,married,secondary,3,no
455,44,"(41.0, 47.0]",blue-collar,married,secondary,4,no
456,40,"(37.0, 41.0]",admin.,single,secondary,2,no
457,37,"(33.0, 37.0]",technician,married,secondary,3,yes
458,33,"(30.0, 33.0]",blue-collar,single,secondary,3,no
459,35,"(33.0, 37.0]",blue-collar,married,secondary,4,no
460,58,"(54.0, 95.0]",blue-collar,divorced,secondary,4,no
461,39,"(37.0, 41.0]",blue-collar,married,primary,3,no
462,43,"(41.0, 47.0]",blue-collar,married,secondary,3,no
463,39,"(37.0, 41.0]",unemployed,married,primary,5,no
